"id" "area" "biomass" "roads" "il_area" "uc_area" "pasture" "np" "ed" "mpa" "pland" "hydro" "pp" "prec_f" "temp_f" "af_lm" "af_ly" "ba_ly" "ba_lm" "da_ly" "da_lm" "prec_anom" "ahd" "temp_anom" "ba"
"1" 1 2073.34090625916 134.63379180439 0.039743344721164 2060.22837868831 384.956295030948 2953.79055646476 45 330451.235761052 3.59827672e-07 95.8509234461455 0 0 4.20387697219849 297.480529785156 78 5 0 0 0 0 0 43.1399671586894 0 0
"2" 2 4453.4462384166 171.107686391308 0.116522045808526 4392.24801249278 758.385833818976 5497.77304407325 184 631110.75117633 1.80907059e-07 91.6730091479091 1.10111106242359 0 4.71529626846313 297.776824951172 112 7 0 0 0 0 0 16.8782863941322 0 0
"3" 3 1771.43976840992 259.414773449213 0.01532815358182 1633.5931635045 0 638.392899358515 68 791249.228241614 1.69658235e-07 79.9910158506064 0 0 4.39923334121704 295.451324462891 2 1 0 0 0 0 0 354.24399693807 0 0
"4" 4 4676.08135081312 269.577907666131 0.000969648171896 4596.96381093492 0 239.277963110906 37 499609.962967949 9.42599721e-07 91.5720807137684 12.4374423063848 0 5.15128993988037 295.952484130859 0 0 0 0 0 0 0 192.160857273982 0 0
"5" 5 3792.99868535108 259.160292779273 0.001236002723295 3767.88695998735 0 283.868285474682 49 354467.493416956 5.88638535e-07 93.3847461598987 12.114813739444 0 4.28261423110962 297.175933837891 0 0 0 0 0 0 0 143.400637835264 0 0
"6" 6 7347.02925598716 239.645770428512 0.068621217590338 2200.9678531283 1.80517114002486 29910.8370531004 156 351247.065616863 3.67048965e-07 95.6795846176394 2.08455844724477 2707.82870010681 3.55134844779968 299.545989990234 34 0 0 0 0 2.18075685398277 0 200.327268182739 0 0
"7" 7 10657.1575765319 160.406613188792 0.122481201292948 7584.33368143052 0 26648.1123215695 22 134664.550731156 3.892422995e-06 98.6655430736573 11.7267330099455 1777.32383725509 2.8900728225708 301.994232177734 690 38 0 0 0 0 0 102.95486080541 0 0
"8" 8 9721.96143699597 119.618449649854 0.161326013818878 9458.60375388849 0 21272.523986339 25 109136.903635952 3.137653951e-06 99.0558219564585 31.1455931173497 195.976143821162 2.2207350730896 301.222503662109 903 53 0 0 0 0 0 61.7153681163029 0 0
"9" 9 74.6437718761857 64.1503894547949 0.366528073364558 64.7214856502003 0 1860.33678135094 2 201410.045107728 2.939975e-07 97.0081238741694 0 6.90245063691348 3.16627216339111 300.57275390625 7 3 0 0 0 0 0 100.010744094849 0 0
"10" 10 6009.0195945161 199.753125470706 0.042238289181952 2750.25307931054 2648.02198583431 15917.8276328864 245 662772.062344845 1.7880906e-07 89.5178560716495 256.537152006418 73.6129700938598 2.30378150939941 300.607086181641 304 3 0 0 0.263839036001857 0 0 -102.430885054627 0 0
"11" 11 363.492095944992 133.933682545959 0 0 363.492095944992 303.809564911243 1 217331.944213635 2.669018197e-06 90.1073363163895 35.7752968950575 0 1.52973830699921 300.725830078125 0 0 0 0 0 0 0 -108.349848611014 1 0
"12" 12 8774.58317960821 277.863938676334 0.002269305027055 8743.24779156306 0 1543.27097659195 553 766445.319911052 1.17808934e-07 91.2676414443079 0 0 3.14348173141479 296.689392089844 4 0 0 0 0 0 0 69.7043899087345 0 0
"13" 13 10791.5199004147 261.759944863775 0.000243097187221 10791.5199004147 0 241.278864468756 78 199106.79283411 1.097597491e-06 97.5438316674158 45.7147184571331 0 3.34821963310242 297.817169189453 0 0 0 0 0 0 0 114.600543473896 0 0
"14" 14 10791.5199004147 230.098093073073 0.046096887100808 4611.47895808857 2546.46632359547 83958.574345699 620 711877.88748925 1.28166081e-07 90.5111870292067 102.864639653044 1844.58268565515 3.73187565803528 299.983764648438 2 0 0 0 0.44056557797353 3.03378350216531 0 180.24896920751 1 0
"15" 15 10791.5199004147 107.704702531164 0.59084220862887 1348.785496623 50.6757766817627 73216.8435511157 248 553404.628387168 3.20614688e-07 90.5935333708566 118.942950717613 6055.44608347292 2.60514950752258 302.108917236328 210 28 0.25 0 0 0.451277342163587 0 83.8293619490506 0 0
"16" 16 7107.22011740648 112.4411435221 0.222649994096099 2329.93893769512 0 38548.7669154126 296 524648.493434307 1.80661396e-07 92.4891848844504 67.336778880962 3714.36962939644 1.39255976676941 302.613403320312 194 17 0 0 0 0.857656225134618 0 92.8855557738498 0 0
